Deal Name,Category,Offer-Sub Offer,Amount,Deal Stage,Deal Source,Won value,Total pursuit value,Average won value,Average pursuit value,Deal Source Count
FEMSA Spin Premia - Gamification Roadmap for Enhanced Loyalty,Retail,Offer - Breakthrough Products,"$453,906.90",Cancelled,Side Door: Repeat Client,,,,,
Inter IKEA - Conceptualizing Core Services,Retail,Offer - Breakthrough Products,"$246,020.00",Cancelled,Side Door: Repeat Client,,,,,
Inter IKEA - Future of Living room,Retail,Offer - Strategic Futures; Offer - Breakthrough Products,"$232,488.90",Cancelled,Side Door: Repeat Client,,,,,
Inter IKEA - Material Storytelling as a Competitive Advantage,Retail,Offer - Breakthrough Products,"$54,001.39",Delivered,Side Door: Repeat Client,,,"$237,286.29","$448,930.99",
interIKEA - Pocket Home Inspiration Workshop,Retail,Offer - Creative Capabilities,"$43,053.50",Delivered,Side Door: Repeat Client,,,,,
Inter IKEA - Market Hall block development – Store of Tomorrow,Retail,Offer - Strategic Futures,"$541,244.00",Delivered,Side Door: Repeat Client,,,,,
Luxottica - Store of the future - Medtech,Retail,Offer - Strategic Futures; Offer - Breakthrough Products,"$492,040.00",In Proposal,Side Door: Your Professional Brand,,,,,3
Inter IKEA - Learning Needs,Retail,Offer - Creative Capabilities,,Qualifying,Side Door: Your Professional Brand,,,,,
IKEA - Future of Comfort Seating,Retail,Offer - Strategic Futures; Offer - Breakthrough Products,"$244,174.85",Signed,Side Door: Repeat Client,,,,,
Lego workshop,Retail,Solving - Circular Economy Design,"$49,204.00",Signed,Side Door: Your Professional Brand,,,,,
Viasat - DTC Streaming,Tech,Solving - Business Model Transformation,"$369,030.00",Cancelled,IDEO Front Door,,,,,
Sony Music Entertainment UK: L&D,Tech,Offer - Creative Capabilities,"$49,204.00",Cancelled,IDEO Front Door,,,,,
FourthQuarterLife - Digital Experience Strategy,Tech,Offer - Strategic Futures,,Cancelled,New Door: Proactive BD,,,,,
Samsung Innovation Retainer RFP,Tech,Offer - Creative Capabilities; Offer - Strategic Futures,"$1,845,150.00",Cancelled,New Door: Proactive BD,,,,,
Meta Marketing Immersion: Tokyo,Tech,Solving - Service/Experience Design,"$100,000.00",Cancelled,Side Door: Repeat Client,,,,,5
BT – Getting Research Breakthroughs to Market,Tech,Offer - Strategic Futures,,Cancelled,Side Door: Repeat Client,,,,,
KPMG AI leadership activation workshop,Tech,Offer - Strategic Futures,"$36,903.00",Cancelled,Side Door: Repeat Client,,,,,
Infineon Marketing Conference,Tech,Offer - Strategic Futures,"$369,030.00",Cancelled,Side Door: Repeat Client,,,,,
Vibe AI - Device Industrial Design,Tech,Offer - Breakthrough Products,,Cancelled,Side Door: Your Professional Brand,,,,,
AWS AI for good strategy,Tech,Offer - Strategic Futures,"$311,687.66",Signed,New Door: Proactive BD,"$532,552.11","$3,301,869.11","$266,276.06",,
KPMG - AI Adoption,Tech,Solving - Capacity Building Design,"$220,864.46",Signed,Side Door: Repeat Client,,,,,
